,userID,count,mean,std,min,25%,50%,75%,max
161,924,7.0,924.0,0.0,924.0,924.0,924.0,924.0,924.0
162,945,92.0,945.0,0.0,945.0,945.0,945.0,945.0,945.0
163,958,30.0,958.0,0.0,958.0,958.0,958.0,958.0,958.0
164,999,3.0,999.0,0.0,999.0,999.0,999.0,999.0,999.0
165,1001,98.0,1001.0,0.0,1001.0,1001.0,1001.0,1001.0,1001.0
166,1007,46.0,1007.0,0.0,1007.0,1007.0,1007.0,1007.0,1007.0
167,1011,7.0,1011.0,0.0,1011.0,1011.0,1011.0,1011.0,1011.0
168,1021,35.0,1021.0,0.0,1021.0,1021.0,1021.0,1021.0,1021.0
169,1025,1.0,1025.0,,1025.0,1025.0,1025.0,1025.0,1025.0
170,1039,66.0,1039.0,0.0,1039.0,1039.0,1039.0,1039.0,1039.0
171,1055,2.0,1055.0,0.0,1055.0,1055.0,1055.0,1055.0,1055.0
172,1064,36.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,1064.0
173,1070,12.0,1070.0,0.0,1070.0,1070.0,1070.0,1070.0,1070.0
174,1082,221.0,1082.0,0.0,1082.0,1082.0,1082.0,1082.0,1082.0
175,1083,183.0,1083.0,0.0,1083.0,1083.0,1083.0,1083.0,1083.0
176,1085,64.0,1085.0,0.0,1085.0,1085.0,1085.0,1085.0,1085.0
177,1086,13.0,1086.0,0.0,1086.0,1086.0,1086.0,1086.0,1086.0
178,1087,55.0,1087.0,0.0,1087.0,1087.0,1087.0,1087.0,1087.0
179,1089,13.0,1089.0,0.0,1089.0,1089.0,1089.0,1089.0,1089.0
180,1090,16.0,1090.0,0.0,1090.0,1090.0,1090.0,1090.0,1090.0
181,1091,57.0,1091.0,0.0,1091.0,1091.0,1091.0,1091.0,1091.0
182,1092,32.0,1092.0,0.0,1092.0,1092.0,1092.0,1092.0,1092.0
183,1093,76.0,1093.0,0.0,1093.0,1093.0,1093.0,1093.0,1093.0
184,1094,12.0,1094.0,0.0,1094.0,1094.0,1094.0,1094.0,1094.0
185,1095,271.0,1095.0,0.0,1095.0,1095.0,1095.0,1095.0,1095.0
186,1097,22.0,1097.0,0.0,1097.0,1097.0,1097.0,1097.0,1097.0
187,1099,125.0,1099.0,0.0,1099.0,1099.0,1099.0,1099.0,1099.0
188,1102,26.0,1102.0,0.0,1102.0,1102.0,1102.0,1102.0,1102.0
189,1104,186.0,1104.0,0.0,1104.0,1104.0,1104.0,1104.0,1104.0
190,1105,9.0,1105.0,0.0,1105.0,1105.0,1105.0,1105.0,1105.0
191,1108,102.0,1108.0,0.0,1108.0,1108.0,1108.0,1108.0,1108.0
192,1110,8.0,1110.0,0.0,1110.0,1110.0,1110.0,1110.0,1110.0
193,1111,14.0,1111.0,0.0,1111.0,1111.0,1111.0,1111.0,1111.0
194,1120,36.0,1120.0,0.0,1120.0,1120.0,1120.0,1120.0,1120.0
195,1122,15.0,1122.0,0.0,1122.0,1122.0,1122.0,1122.0,1122.0
196,1123,31.0,1123.0,0.0,1123.0,1123.0,1123.0,1123.0,1123.0
197,1124,254.0,1124.0,0.0,1124.0,1124.0,1124.0,1124.0,1124.0
198,1126,88.0,1126.0,0.0,1126.0,1126.0,1126.0,1126.0,1126.0
199,1133,104.0,1133.0,0.0,1133.0,1133.0,1133.0,1133.0,1133.0
200,1135,137.0,1135.0,0.0,1135.0,1135.0,1135.0,1135.0,1135.0
201,1137,120.0,1137.0,0.0,1137.0,1137.0,1137.0,1137.0,1137.0
202,1142,15.0,1142.0,0.0,1142.0,1142.0,1142.0,1142.0,1142.0
203,1152,46.0,1152.0,0.0,1152.0,1152.0,1152.0,1152.0,1152.0
204,1153,41.0,1153.0,0.0,1153.0,1153.0,1153.0,1153.0,1153.0
205,1154,106.0,1154.0,0.0,1154.0,1154.0,1154.0,1154.0,1154.0
206,1161,112.0,1161.0,0.0,1161.0,1161.0,1161.0,1161.0,1161.0
207,1162,3.0,1162.0,0.0,1162.0,1162.0,1162.0,1162.0,1162.0
208,1164,96.0,1164.0,0.0,1164.0,1164.0,1164.0,1164.0,1164.0
209,1202,109.0,1202.0,0.0,1202.0,1202.0,1202.0,1202.0,1202.0
210,1208,67.0,1208.0,0.0,1208.0,1208.0,1208.0,1208.0,1208.0
211,1214,61.0,1214.0,0.0,1214.0,1214.0,1214.0,1214.0,1214.0
212,1215,10.0,1215.0,0.0,1215.0,1215.0,1215.0,1215.0,1215.0
213,1222,95.0,1222.0,0.0,1222.0,1222.0,1222.0,1222.0,1222.0
214,1225,26.0,1225.0,0.0,1225.0,1225.0,1225.0,1225.0,1225.0
215,1231,12.0,1231.0,0.0,1231.0,1231.0,1231.0,1231.0,1231.0
216,1236,64.0,1236.0,0.0,1236.0,1236.0,1236.0,1236.0,1236.0
217,1238,13.0,1238.0,0.0,1238.0,1238.0,1238.0,1238.0,1238.0
218,1243,37.0,1243.0,0.0,1243.0,1243.0,1243.0,1243.0,1243.0
219,1244,6.0,1244.0,0.0,1244.0,1244.0,1244.0,1244.0,1244.0
220,1249,3.0,1249.0,0.0,1249.0,1249.0,1249.0,1249.0,1249.0
221,1257,13.0,1257.0,0.0,1257.0,1257.0,1257.0,1257.0,1257.0
222,1263,79.0,1263.0,0.0,1263.0,1263.0,1263.0,1263.0,1263.0
223,1272,47.0,1272.0,0.0,1272.0,1272.0,1272.0,1272.0,1272.0
224,1274,66.0,1274.0,0.0,1274.0,1274.0,1274.0,1274.0,1274.0
225,1285,29.0,1285.0,0.0,1285.0,1285.0,1285.0,1285.0,1285.0
226,1286,23.0,1286.0,0.0,1286.0,1286.0,1286.0,1286.0,1286.0
227,1293,6.0,1293.0,0.0,1293.0,1293.0,1293.0,1293.0,1293.0
228,1297,1.0,1297.0,,1297.0,1297.0,1297.0,1297.0,1297.0
229,1302,2.0,1302.0,0.0,1302.0,1302.0,1302.0,1302.0,1302.0
230,1309,28.0,1309.0,0.0,1309.0,1309.0,1309.0,1309.0,1309.0
231,1314,10.0,1314.0,0.0,1314.0,1314.0,1314.0,1314.0,1314.0
232,1316,13.0,1316.0,0.0,1316.0,1316.0,1316.0,1316.0,1316.0
233,1325,1.0,1325.0,,1325.0,1325.0,1325.0,1325.0,1325.0
234,1327,10.0,1327.0,0.0,1327.0,1327.0,1327.0,1327.0,1327.0
235,1336,1.0,1336.0,,1336.0,1336.0,1336.0,1336.0,1336.0
236,1339,1.0,1339.0,,1339.0,1339.0,1339.0,1339.0,1339.0
237,1346,52.0,1346.0,0.0,1346.0,1346.0,1346.0,1346.0,1346.0
