,userID,userID,userID,userID,userID,userID,userID,userID,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
userID,,,,,,,,,,,,,,,,
423,4.0,423.0,0.0,423.0,423.0,423.0,423.0,423.0,4.0,41.375,10.75,36.0,36.0,36.0,41.375,57.5
428,1.0,428.0,,428.0,428.0,428.0,428.0,428.0,1.0,16.65,,16.65,16.65,16.65,16.65,16.65
431,115.0,431.0,0.0,431.0,431.0,431.0,431.0,431.0,115.0,16.87478260869565,6.611232380780256,6.0,12.0,16.0,21.0,40.0
433,13.0,433.0,0.0,433.0,433.0,433.0,433.0,433.0,13.0,20.023076923076925,9.47137387483585,12.0,12.0,18.0,18.0,36.0
438,8.0,438.0,0.0,438.0,438.0,438.0,438.0,438.0,8.0,34.01875,9.33353927281301,16.0,30.0,40.0,40.05,40.05
440,2.0,440.0,0.0,440.0,440.0,440.0,440.0,440.0,2.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
444,1.0,444.0,,444.0,444.0,444.0,444.0,444.0,1.0,5.56,,5.56,5.56,5.56,5.56,5.56
448,1.0,448.0,,448.0,448.0,448.0,448.0,448.0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
459,2.0,459.0,0.0,459.0,459.0,459.0,459.0,459.0,2.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0
461,2.0,461.0,0.0,461.0,461.0,461.0,461.0,461.0,2.0,9.5,3.5355339059327378,7.0,8.25,9.5,10.75,12.0
489,62.0,489.0,0.0,489.0,489.0,489.0,489.0,489.0,62.0,65.43145161290322,21.228099985769273,10.8,50.0,75.3,84.7,87.78
513,46.0,513.0,0.0,513.0,513.0,513.0,513.0,513.0,46.0,38.86869565217391,20.996745420680547,4.0,19.0,41.0,55.92,80.0
515,174.0,515.0,0.0,515.0,515.0,515.0,515.0,515.0,174.0,16.34206896551724,9.326247520008497,5.0,10.0,12.0,20.862499999999997,40.0
516,11.0,516.0,0.0,516.0,516.0,516.0,516.0,516.0,11.0,26.59090909090909,19.342722380546878,9.5,15.0,17.5,34.0,60.0
519,4.0,519.0,0.0,519.0,519.0,519.0,519.0,519.0,4.0,58.5,3.25,53.625,58.5,60.125,60.125,60.125
525,1.0,525.0,,525.0,525.0,525.0,525.0,525.0,1.0,10.0,,10.0,10.0,10.0,10.0,10.0
533,4.0,533.0,0.0,533.0,533.0,533.0,533.0,533.0,4.0,13.0,5.033222956847166,8.0,11.0,12.0,14.0,20.0
541,1.0,541.0,,541.0,541.0,541.0,541.0,541.0,1.0,80.0,,80.0,80.0,80.0,80.0,80.0
543,1.0,543.0,,543.0,543.0,543.0,543.0,543.0,1.0,60.0,,60.0,60.0,60.0,60.0,60.0
556,87.0,556.0,0.0,556.0,556.0,556.0,556.0,556.0,87.0,44.55068965517242,15.799671161804941,5.22,32.16,46.98,55.905,66.0
558,256.0,558.0,0.0,558.0,558.0,558.0,558.0,558.0,256.0,18.285625,7.282748215380477,2.0,14.0,14.0,24.0,40.0
559,173.0,559.0,0.0,559.0,559.0,559.0,559.0,559.0,173.0,12.0564161849711,3.7522428781304553,2.78,9.39,12.0,15.65,24.0
560,291.0,560.0,0.0,560.0,560.0,560.0,560.0,560.0,291.0,15.358384879725126,7.648040979928604,2.73,5.46,19.11,21.84,32.0
562,445.0,562.0,0.0,562.0,562.0,562.0,562.0,562.0,445.0,5.788629213483146,1.9624905254951368,2.27,5.0,6.0,7.0,13.0
563,29.0,563.0,0.0,563.0,563.0,563.0,563.0,563.0,29.0,29.20344827586207,9.435513566105325,12.0,20.0,30.0,38.0,50.0
564,91.0,564.0,0.0,564.0,564.0,564.0,564.0,564.0,91.0,24.995494505494513,10.08740978356863,4.62,18.48,23.1,32.0,46.2
565,32.0,565.0,0.0,565.0,565.0,565.0,565.0,565.0,32.0,17.733750000000004,4.15891715900712,9.99,13.32,19.98,19.98,24.0
566,70.0,566.0,0.0,566.0,566.0,566.0,566.0,566.0,70.0,14.23542857142857,6.459861506505368,4.0,10.0,12.5,20.0,32.0
567,285.0,567.0,0.0,567.0,567.0,567.0,567.0,567.0,285.0,7.546807017543866,1.0952853419234028,6.66,6.66,6.66,8.0,10.0
569,232.0,569.0,0.0,569.0,569.0,569.0,569.0,569.0,232.0,25.86637931034483,14.85730944608454,6.0,15.0,21.0,36.0,60.0
579,49.0,579.0,0.0,579.0,579.0,579.0,579.0,579.0,49.0,44.59183673469388,11.23734170698105,12.0,40.0,40.0,54.0,80.0
588,1.0,588.0,,588.0,588.0,588.0,588.0,588.0,1.0,6.8,,6.8,6.8,6.8,6.8,6.8
593,12.0,593.0,0.0,593.0,593.0,593.0,593.0,593.0,12.0,24.875,10.938100632858772,8.0,17.5,24.75,32.0,40.0
609,165.0,609.0,0.0,609.0,609.0,609.0,609.0,609.0,165.0,20.432242424242443,6.447576057251503,4.0,20.0,20.0,21.42,42.0
620,130.0,620.0,0.0,620.0,620.0,620.0,620.0,620.0,130.0,13.176923076923076,3.143753211943146,5.0,10.0,13.5,15.0,25.0
627,8.0,627.0,0.0,627.0,627.0,627.0,627.0,627.0,8.0,45.962500000000006,6.995773724185195,33.36,45.035,50.04,50.04,50.04
629,22.0,629.0,0.0,629.0,629.0,629.0,629.0,629.0,22.0,22.727272727272727,10.264046441372395,4.0,17.0,20.0,20.0,40.0
630,13.0,630.0,0.0,630.0,630.0,630.0,630.0,630.0,13.0,21.53846153846154,2.0254787341673333,20.0,20.0,20.0,24.0,24.0
632,94.0,632.0,0.0,632.0,632.0,632.0,632.0,632.0,94.0,16.5531914893617,4.751042944418809,8.0,16.0,16.0,16.0,44.0
634,39.0,634.0,0.0,634.0,634.0,634.0,634.0,634.0,39.0,4.512820512820513,2.2941205730690526,2.0,3.0,4.0,6.0,9.0
637,66.0,637.0,0.0,637.0,637.0,637.0,637.0,637.0,66.0,35.14515151515147,8.52117944931681,19.81,31.0,39.62,39.62,55.38
639,4.0,639.0,0.0,639.0,639.0,639.0,639.0,639.0,4.0,16.0,10.83205120618128,8.0,11.0,12.0,17.0,32.0
667,15.0,667.0,0.0,667.0,667.0,667.0,667.0,667.0,15.0,24.066666666666666,17.263572989996952,5.0,9.0,17.5,40.0,50.0
668,204.0,668.0,0.0,668.0,668.0,668.0,668.0,668.0,204.0,15.567401960784315,11.205236223868974,4.0,8.0,12.0,18.5,40.0
669,18.0,669.0,0.0,669.0,669.0,669.0,669.0,669.0,18.0,19.766111111111115,5.3696293429850215,11.43,15.43,20.0,22.86,31.98
671,43.0,671.0,0.0,671.0,671.0,671.0,671.0,671.0,43.0,24.816976744186054,9.044018421793046,5.34,18.445,26.7,29.37,40.04
674,22.0,674.0,0.0,674.0,674.0,674.0,674.0,674.0,22.0,21.320909090909094,9.860961949159451,5.72,15.015,20.02,32.0,35.0
675,55.0,675.0,0.0,675.0,675.0,675.0,675.0,675.0,55.0,17.138545454545458,7.247296409870735,6.26,10.68,15.96,23.94,36.0
676,134.0,676.0,0.0,676.0,676.0,676.0,676.0,676.0,134.0,21.933134328358218,2.9787610125335937,7.28,21.84,21.84,24.0,25.48
677,47.0,677.0,0.0,677.0,677.0,677.0,677.0,677.0,47.0,17.4531914893617,3.935117868177231,3.25,16.25,19.5,19.5,20.15
686,23.0,686.0,0.0,686.0,686.0,686.0,686.0,686.0,23.0,6.434782608695652,1.9960435173913813,4.0,4.0,8.0,8.0,8.0
697,116.0,697.0,0.0,697.0,697.0,697.0,697.0,697.0,116.0,13.859310344827584,5.067475784311921,3.13,9.39,15.0,18.0,25.04
698,1.0,698.0,,698.0,698.0,698.0,698.0,698.0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
710,87.0,710.0,0.0,710.0,710.0,710.0,710.0,710.0,87.0,37.7344827586207,14.181663296569186,5.22,29.25,36.54,41.76,64.0
712,252.0,712.0,0.0,712.0,712.0,712.0,712.0,712.0,252.0,18.53968253968254,7.567650583700642,8.0,12.0,18.0,24.0,36.0
714,235.0,714.0,0.0,714.0,714.0,714.0,714.0,714.0,235.0,21.16595744680851,7.350948441502931,4.0,16.0,18.0,24.0,40.0
724,10.0,724.0,0.0,724.0,724.0,724.0,724.0,724.0,10.0,8.352,3.4479907192450505,2.88,5.76,8.64,10.8,14.4
734,22.0,734.0,0.0,734.0,734.0,734.0,734.0,734.0,22.0,27.16727272727273,12.268584806740064,10.72,18.76,23.375,35.0625,49.5
743,596.0,743.0,0.0,743.0,743.0,743.0,743.0,743.0,596.0,7.966023489932886,1.0612537976265188,3.25,8.0,8.0,8.0,25.0
744,9.0,744.0,0.0,744.0,744.0,744.0,744.0,744.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
751,60.0,751.0,0.0,751.0,751.0,751.0,751.0,751.0,60.0,19.4,14.503301786554134,8.0,8.0,8.0,40.0,40.0
752,17.0,752.0,0.0,752.0,752.0,752.0,752.0,752.0,17.0,12.75,0.0,12.75,12.75,12.75,12.75,12.75
754,123.0,754.0,0.0,754.0,754.0,754.0,754.0,754.0,123.0,14.75609756097561,1.4673577425093771,3.0,15.0,15.0,15.0,15.0
755,18.0,755.0,0.0,755.0,755.0,755.0,755.0,755.0,18.0,29.333333333333332,3.8805700005813275,24.0,24.0,32.0,32.0,32.0
774,45.0,774.0,0.0,774.0,774.0,774.0,774.0,774.0,45.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0
777,91.0,777.0,0.0,777.0,777.0,777.0,777.0,777.0,91.0,18.42296703296704,5.328061664329824,8.0,15.0,18.0,24.0,25.0
781,24.0,781.0,0.0,781.0,781.0,781.0,781.0,781.0,24.0,11.917916666666665,4.730700820557478,7.14,7.14,10.71,17.85,17.85
798,41.0,798.0,0.0,798.0,798.0,798.0,798.0,798.0,41.0,11.024390243902438,3.8761308342085714,8.0,8.0,8.0,16.0,20.0
818,102.0,818.0,0.0,818.0,818.0,818.0,818.0,818.0,102.0,39.14705882352941,15.935760308512638,7.5,27.5,41.25,50.0,80.0
828,1.0,828.0,,828.0,828.0,828.0,828.0,828.0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0
832,138.0,832.0,0.0,832.0,832.0,832.0,832.0,832.0,138.0,22.181159420289855,7.512748782327978,3.0,18.0,21.0,28.0,40.0
838,377.0,838.0,0.0,838.0,838.0,838.0,838.0,838.0,377.0,29.727506631299786,8.331187856902734,8.0,30.31,30.31,34.64,42.0
850,67.0,850.0,0.0,850.0,850.0,850.0,850.0,850.0,67.0,27.582089552238806,6.060676164225926,8.0,30.0,30.0,30.0,30.0
858,181.0,858.0,0.0,858.0,858.0,858.0,858.0,858.0,181.0,8.453038674033149,1.0297001417059903,6.0,8.0,8.0,8.0,16.0
859,1.0,859.0,,859.0,859.0,859.0,859.0,859.0,1.0,10.0,,10.0,10.0,10.0,10.0,10.0
867,22.0,867.0,0.0,867.0,867.0,867.0,867.0,867.0,22.0,27.25,6.103765426435749,8.0,24.0,30.0,32.0,32.0
869,2.0,869.0,0.0,869.0,869.0,869.0,869.0,869.0,2.0,48.0,45.254833995939045,16.0,32.0,48.0,64.0,80.0
875,6.0,875.0,0.0,875.0,875.0,875.0,875.0,875.0,6.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0
883,8.0,883.0,0.0,883.0,883.0,883.0,883.0,883.0,8.0,6.15,1.0014275524755363,4.8,5.7,6.0,7.2,7.2
891,309.0,891.0,0.0,891.0,891.0,891.0,891.0,891.0,309.0,7.058252427184466,1.6126040249448843,3.0,6.0,6.0,8.0,12.0
915,6.0,915.0,0.0,915.0,915.0,915.0,915.0,915.0,6.0,25.25333333333333,11.063427437583103,5.0,23.31,28.305,33.3,33.3
924,7.0,924.0,0.0,924.0,924.0,924.0,924.0,924.0,7.0,6.571428571428571,2.0701966780270626,5.0,5.0,5.0,8.0,10.0
945,92.0,945.0,0.0,945.0,945.0,945.0,945.0,945.0,92.0,29.91304347826087,2.256381299673758,12.0,30.0,30.0,30.0,32.0
958,30.0,958.0,0.0,958.0,958.0,958.0,958.0,958.0,30.0,29.066666666666666,14.778673668577262,4.0,20.0,20.0,40.0,80.0
999,3.0,999.0,0.0,999.0,999.0,999.0,999.0,999.0,3.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0
1001,98.0,1001.0,0.0,1001.0,1001.0,1001.0,1001.0,1001.0,98.0,11.718367346938773,3.9810724074236097,4.8,9.6,12.0,12.0,24.0
1007,46.0,1007.0,0.0,1007.0,1007.0,1007.0,1007.0,1007.0,46.0,14.0,3.3466401061363023,8.0,12.0,16.0,16.0,16.0
1011,7.0,1011.0,0.0,1011.0,1011.0,1011.0,1011.0,1011.0,7.0,23.571428571428573,2.439750182371333,20.0,22.5,25.0,25.0,25.0
1021,35.0,1021.0,0.0,1021.0,1021.0,1021.0,1021.0,1021.0,35.0,39.94285714285714,7.459470321610749,28.0,36.0,42.0,48.0,48.0
1025,1.0,1025.0,,1025.0,1025.0,1025.0,1025.0,1025.0,1.0,12.0,,12.0,12.0,12.0,12.0,12.0
1039,66.0,1039.0,0.0,1039.0,1039.0,1039.0,1039.0,1039.0,66.0,61.56363636363635,17.43311425785056,5.42,65.04,65.04,65.04,80.0
1055,2.0,1055.0,0.0,1055.0,1055.0,1055.0,1055.0,1055.0,2.0,13.0,7.0710678118654755,8.0,10.5,13.0,15.5,18.0
1064,36.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,1064.0,36.0,39.08249999999999,11.96757867263526,8.0,32.62,45.39,48.06,55.92
1070,12.0,1070.0,0.0,1070.0,1070.0,1070.0,1070.0,1070.0,12.0,29.183333333333334,7.021762707123584,20.4,26.349999999999998,27.2,28.9,44.2
1082,221.0,1082.0,0.0,1082.0,1082.0,1082.0,1082.0,1082.0,221.0,14.877828054298643,2.7844547021781674,8.0,16.0,16.0,16.0,16.0
